UF,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACRE,278763,278763,315164,334868,223245,218462,226691,230377,244264,106627,108398,155293,158020,160703,163337,118517,124181,125991,127781,129554,124652,125226,125804
ALAGOAS,470437,470437,496818,502652,502652,433890,625511,631222,312092,224527,226105,235781,114542,115205,115826,116408,114580,115081,115570,129437,103819,103826,100628
AMAPA,95406,95406,91233,84941,99098,83902,87595,104435,111448,114052,87325,183749,107273,45099,52153,53181,55300,56382,57452,58508,53030,53275,53522
AMAZONAS,140628,165445,184631,146924,146924,107398,111370,109464,84901,86302,94500,81020,69174,62513,63519,58052,56271,57564,58440,83725,71183,70676,67956
BAHIA,242042,210810,204210,222828,234158,210159,216456,187659,170993,187967,166769,161765,173866,178870,153504,147543,129339,114408,112260,123845,106556,105920,103850
CEARA,337757,239699,249268,224924,224924,227368,241444,208483,192001,198376,204905,179155,111934,106005,91466,89311,89858,83781,81302,90594,82549,82113,83186
DISTRITO FEDERAL,26989,28488,29637,34035,33648,26695,28413,28031,32037,33896,41953,42921,43694,33893,34221,34936,34192,34264,34718,37281,35148,37564,37285
ESPIRITO SANTO,147487,75542,79810,81152,92118,77946,76748,81098,78059,80615,76129,68560,64751,56955,55190,54275,54416,54306,54920,59544,58709,57409,56974
GOIAS,108766,98103,98362,102180,96895,75294,81181,80085,81136,76971,73274,69935,67950,67456,59784,57938,59665,61565,59778,64924,66067,61648,61769
MARANHAO,706434,332440,354206,381458,381458,319937,573231,578831,386452,332288,319729,205888,207603,156915,134012,112907,115241,115987,112930,145985,112872,125058,127472
MATO GROSSO,119255,139131,98184,96665,96665,105727,118309,115450,112370,113924,115383,88392,89565,77750,73456,72707,64943,65745,66532,64859,65280,61941,71044
MATO GROSSO DO SUL,122235,138533,123928,125804,113223,133283,137415,138853,144079,103231,104379,92402,93559,94687,99348,100487,101779,89645,80268,91587,81554,82229,82911
MINAS GERAIS,113959,105867,97404,96187,95709,96852,106150,108879,104230,100657,89438,96682,86754,83144,81072,82177,78218,75334,74450,81106,82406,77545,78392
PARA,476331,412820,402952,290441,366873,415622,385342,391106,281040,248019,199045,170207,161268,127585,127136,126767,101245,101210,102244,123621,112764,113370,114004
PARAIBA,229588,156538,137244,138303,149829,151725,187130,188499,188342,151653,146737,150555,151688,116829,111095,108799,99349,89292,89762,104100,97763,95918,96396
PARANA,116628,79695,71882,76581,83430,75069,79625,78575,73004,69160,66527,65461,62964,68485,63518,58657,56462,51737,50959,58573,53856,54669,51189
PERNAMBUCO,239950,197959,163214,158747,168272,166405,164796,166231,162889,147748,115987,112299,103086,106195,98024,97663,81778,80992,79476,87953,80449,80631,80839
PIAUI,284328,315920,330807,375861,334098,433205,445671,314533,311902,314033,316075,318417,228194,133501,139660,123818,108818,96271,96514,149513,115760,116065,116402
RIO DE JANEIRO,66936,64826,62825,62030,63306,58633,61521,62786,59017,53889,51042,52634,50187,47151,44962,46313,45760,45196,45581,48509,46644,46398,45078
RIO GRANDE DO NORTE,462797,277678,296211,333676,200206,200916,221888,224110,166744,168350,169905,116343,109952,111038,112097,113129,108965,113124,107096,118697,100822,101067,107690
RIO GRANDE DO SUL,68836,68374,69200,74281,78022,78977,76445,78519,75321,72034,67316,66453,66315,74986,71889,64335,62942,60517,59186,65151,63393,62346,63446
RONDONIA,344947,275957,312417,191824,191824,161528,114890,115687,130042,131371,122309,132940,102855,117880,119152,100322,61903,80783,74853,67233,64246,64454,64675
RORAIMA,162199,162199,127299,130439,130439,98931,82557,84300,75205,76694,78254,81345,82823,33711,34282,34842,38438,40384,42079,46622,48100,49662,55138
SANTA CATARINA,119030,105027,97867,102922,94622,74259,81792,84983,75297,65124,60220,60865,62871,57304,53570,52640,47807,47449,48030,52418,55297,54296,53723
SAO PAULO,62239,57061,57138,55630,55553,53676,57040,56613,52551,51342,47997,48895,46996,45582,44527,44428,44256,41974,42273,44598,42388,41720,41306
SERGIPE,178448,127463,138185,140557,140557,138530,222153,144263,147717,149273,150776,115561,116820,124608,113289,95338,94930,85137,85882,77949,66870,67117,65459
TOCANTINS,578549,385699,252529,217621,261146,248725,426836,430684,276691,155655,101264,113705,115145,116548,90171,86122,86402,82782,83697,84598,67721,68139,60667
