1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,87,2.974.703,34.192
RORAIMA,15,576.568,38.438
SÃO PAULO,1.029,45.538.936,44.256
RIO DE JANEIRO,375,17.159.960,45.760
SANTA CATARINA,148,7.075.494,47.807
ESPIRITO SANTO,73,3.972.388,54.416
AMAPÁ,15,829.494,55.300
AMAZONAS,71,3.995.258,56.271
PARANÁ,201,11.348.937,56.462
GOIÁS,116,6.921.161,59.665
RONDONIA,20,1.238.058,61.903
RIO GRANDE DO SUL,180,11.329.605,62.942
MATO GROSSO,53,3.441.998,64.943
MINAS GERAIS,269,21.040.662,78.218
PERNAMBUCO,116,9.486.191,81.778
TOCANTINS,18,1.555.229,86.402
CEARÁ,101,9.075.649,89.858
SERGIPE,24,2.278.308,94.930
PARAIBA,40,3.973.940,99.349
PARÁ,84,8.504.598,101.245
MATO GROSSO DO SUL,27,2.748.023,101.779
PIAUI,30,3.264.531,108.818
RIO GRANDE DO NORTE,31,3.377.908,108.965
ALAGOAS,29,3.322.820,114.580
MARANHÃO,60,6.914.434,115.241
ACRE,7,869.265,124.181
BAHIA,114,14.744.683,129.339
Total,3.333,207.558.801,62.274
