Ano,Salas,Público,Média por Sala
1971,2154,203020339,94253
1972,2648,191489250,72315
1973,2690,193377651,71888
1974,2676,201291002,75221
1975,3276,275380446,84060
1976,3161,250530851,79257
1977,3156,208336002,66013
1978,2973,211657024,71193
1979,2937,191908000,65342
1980,2365,164773000,69671
1981,2244,138892000,61895
1982,1988,127913000,64343
1983,1736,106536000,61369
1984,1553,89936000,57911
1985,1428,91300000,63936
1986,1372,127603000,93005
1987,1399,116939000,83588
1988,1423,108567000,76294
1989,1520,110072000,72416
1990,1488,95101000,63912
1991,1511,95093000,62934
1992,1400,75000000,53571
1993,1250,70000000,56000
1994,1289,75000000,58185
1995,1033,85000000,82285
1996,1365,62000000,45421
1997,1075,52000000,48372
1998,1300,70000000,53846
1999,1350,70000000,51852
2000,1480,72000000,48649
2001,1620,75000000,46296
2002,1635,90865988,55576
2003,1817,105031457,57805
2004,1997,117451863,58814
2005,2045,93602863,45772
2006,2045,90283635,44148
2007,2050,89319290,43570
2008,2063,89109595,43194
2009,2096,112762168,53799
2010,2225,134957942,60655
2011,2346,141772442,60432
2012,2529,148914092,58883
2013,2645,151190286,57161
2014,2819,157288038,55796
2015,2960,170721981,57676
2016,3118,185864318,59610
2017,3206,183050118,57096
2018,3333,164437193,49336
2019,3507,177719156,50676
2020,1860,39437397,21203
2021,3266,52267327,16003
2022,3415,95287334,27903
2023,3468,114076575,32894
2024,3510,125256490,35686
