0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,UF,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,
,AC,,,4,,,5,,,7,,,8,,,8,,,8,,,7,,,7,,,7,,,7,
,AL,,,29,,,29,,,29,,,29,,,31,,,0,,,26,,,31,,,31,,,32,
,AM,,,63,,,63,,,71,,,71,,,70,,,48,,,51,,,59,,,60,,,63,
,AP,,,17,,,17,,,17,,,17,,,15,,,11,,,15,,,15,,,15,,,15,
,BA,,,87,,,100,,,106,,,114,,,114,,,71,,,121,,,139,,,140,,,143,
,CE,,,86,,,98,,,100,,,99,,,107,,,83,,,102,,,111,,,112,,,111,
,DF,,,87,,,88,,,88,,,88,,,88,,,70,,,83,,,84,,,79,,,80,
,ES,,,69,,,72,,,74,,,78,,,78,,,43,,,69,,,69,,,71,,,72,
,GO,,,99,,,113,,,117,,,116,,,132,,,51,,,111,,,109,,,118,,,119,
,MA,,,46,,,51,,,62,,,62,,,61,,,34,,,49,,,62,,,56,,,55,
,MG,,,252,,,259,,,257,,,269,,,279,,,128,,,264,,,257,,,274,,,272,
,MS,,,30,,,28,,,28,,,28,,,29,,,15,,,31,,,35,,,35,,,35,
,MT,,,42,,,45,,,46,,,53,,,53,,,34,,,55,,,57,,,61,,,54,
,PA,,,66,,,66,,,66,,,83,,,84,,,71,,,71,,,76,,,76,,,76,
,PB,,,34,,,37,,,38,,,40,,,45,,,28,,,39,,,42,,,43,,,43,
,PE,,,88,,,97,,,96,,,116,,,119,,,84,,,110,,,118,,,118,,,118,
,PI,,,26,,,26,,,26,,,30,,,31,,,22,,,22,,,29,,,29,,,29,
,PR,,,169,,,179,,,192,,,200,,,221,,,47,,,198,,,217,,,215,,,231,
,RJ,,,353,,,366,,,354,,,373,,,382,,,256,,,360,,,369,,,371,,,382,
,RN,,,31,,,31,,,31,,,31,,,34,,,26,,,30,,,34,,,34,,,32,
,RO,,,16,,,15,,,18,,,19,,,24,,,16,,,27,,,27,,,27,,,27,
,RR,,,15,,,15,,,15,,,15,,,15,,,9,,,14,,,14,,,14,,,13,
,RS,,,156,,,161,,,176,,,177,,,184,,,34,,,176,,,177,,,180,,,177,
,SC,,,122,,,130,,,133,,,148,,,149,,,72,,,140,,,141,,,146,,,150,
,SE,,,19,,,21,,,25,,,24,,,28,,,8,,,30,,,34,,,34,,,35,
,SP,,,986,,,1031,,,1033,,,1041,,,1107,,,585,,,1046,,,1079,,,1099,,,1.113,
,TO,,,13,,,17,,,18,,,18,,,19,,,6,,,19,,,23,,,23,,,26,
,Total,,,3.005,,,3.160,,,3.223,,,3.347,,,3.507,,,1.860,,,3.266,,,3.415,,,3.468,,,3.510,
