0,1,2,3,4,5,6,7,8,9,10,11,12
Indicadores,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Público,,,173.022.827,184.327.360,181.226.407,163.454.506,177.719.156,39.437.397,52.267.327,95.287.334,114.076.575,125.256.490
Renda (R$),,,2.351.590.807,2.599.327.628,2.717.664.735,2.458.271.967,2.809.994.860,628.681.962,913.669.053,1.819.558.008,2.237.076.190,2.490.285.189
Títulos lançados,,,455,458,463,472,452,174,309,385,415,456
,Preço Médio do,,14,14,15,15,16,16,17,19,20,20
,Ingresso (R$),,,,,,,,,,,
,Complexos em,,742,771,782,809,852,466,766,812,841,866
,funcionamento,,,,,,,,,,,
,Salas em,,3.005,3.160,3.223,3.347,3.507,1.860,3.266,3.415,3.468,3.510
,funcionamento,,,,,,,,,,,
"Público dos
títulos brasileiros",Público dos,,22.500.563,30.413.839,17.358.513,24.239.873,24.052.777,8.558.642,911.091,4.032.508,3.701.853,12.638.143
,títulos brasileiros,,,,,,,,,,,
,Renda dos títulos,,277.813.274,362.780.505,240.767.678,290.102.953,328.444.023,131.413.379,15.691.240,71.201.203,67.095.990,251.981.109
,brasileiros (R$),,,,,,,,,,,
,Títulos brasileiros,,133,142,160,183,169,59,129,173,161,197
,lançados,,,,,,,,,,,
"% de público dos
filmes brasileiros",,,"13,0%","16,5%","9,6%","14,8%","13,5%","21,7%","1,7%","4,2%","3,2%","10,1%"
